id,section,you_have,choose,entry_point,dont_choose
surface-card-01,surface-card,"ONE free-form block: a paragraph, markdown, a JSX cluster I assembled myself",SurfaceCard,"children / body (+ header, footer)",SurfaceCardList — an array of length 1 is the wrong concept at the DATA-SHAPE level
surface-card-02,surface-card,The whole block is PRESSABLE (a card that links somewhere),SurfaceCard + onPress / href,isPressable is inferred automatically,don't look for SurfaceCard.Pressable — that export no longer exists
surface-card-03,surface-card,"A FLAT array of rows, one row per line, usually pressable",SurfaceCardList,"items[] — title/subtitle/leadingIcon/metaText/trailingIcon, or free-form content",SurfaceCardAccordion if the row doesn't expand; ListLabeled if a card surface is NOT needed
surface-card-04,surface-card,An array of EXPANDABLE rows (trigger + hidden body),SurfaceCardAccordion,items[] — id · title (plain string) · body,Disclosure if there is only ONE collapsible region
surface-card-05,surface-card,An array of READ-ONLY rows carrying a check / cross / pending mark,SurfaceCardCrossList,items[] — text + mark: check|cross|pending|none + tone,"SurfaceCardList — the source states plainly ""Read-only; for CLICKABLE rows use SurfaceCardList"""
surface-card-06,surface-card,"An array of sections, each with a multi-line BODY, needing a QUIET label bar INSIDE the frame",SurfaceCardNested,"items[] — eyebrow/title/content, or children",SurfaceCardList — Nested deliberately has NO leading/meta/trailing/selected/verdict
surface-card-07,surface-card,"A GRID of press-and-done tiles (rate a level, pick an entry point, a large-tile menu)",SurfaceCardPressableGroup,items[] + onPress/href + ariaLabel,SurfaceCardSelectableGroup if you don't need one-of-N selection rules
surface-card-08,surface-card,A GRID of tiles that is a real one-of-N selection CONTROL,SurfaceCardSelectableGroup,items[] + value + onChange + ariaLabel,"SurfaceCardPressableGroup — a different DOM contract, not a different style"
surface-card-09,surface-card,"A dashed ""create new"" tile at the end of a card grid",SurfaceCardPlaceholder,icon + label + onPress (no children),using it as an empty state is wrong — List/Accordion already have their own emptyState
list-01,list,"EXACTLY ONE GitHub-style row, placed into a frame I already have",ListRow,props leading/title/subtitle/meta/trailing (+ href/onPress),don't .map it N times to fake a list
list-02,list,"A label + an ARRAY of short rows (+ one button), placed somewhere that ALREADY has an outer surface",ListLabeled,items[] (= ListRowProps + key) + label/icon/action/emptyState,SurfaceCardList if this cluster needs its own surface
list-03,list,"A few meta fragments on ONE line, joined with ·",ListMeta,chip? + items[] — each element is one fragment,don't hand-type · + mx-1 at the call site
list-04,list,A settings row: name + explanation + a switch,ListToggleRow,props label/description/checked/onCheckedChange,"ListRow if the right side is a chip/number/caret, not a switch"
list-05,list,Content authored by ONE PERSON: avatar + identity line + body/nested replies,IdentityContentRow,byline (node) + children (node); nested draws the indent guide,don't expect it to draw a card surface — wrap SurfaceCard if you need one
disclosure-01,disclosure,"ONE collapsible region, NO border needed",Disclosure (composites/layout/Disclosure),title (inline trigger label) + body / children,SurfaceCardAccordion — it's a real card surface; with one item the label says itself twice
disclosure-02,disclosure,"≥2 uniform regions, WITH a card surface",SurfaceCardAccordion,items[] + label/description/emptyState,"Disclosure — it doesn't repeat, has no items"
disclosure-03,disclosure,"≥2 uniform regions, NO card surface needed","Accordion (atom, atoms/navigation/Accordion)",items[] — key/title/content,SurfaceCardAccordion if you don't want a surface
disclosure-04,disclosure,"Clicking opens a panel OUTSIDE, not an inline region",ListRow (pressable row) + DrawerShell,ListRow trailing caret; content lives in the drawer,Disclosure — the source names TaskSubmissionPanel as exactly this case
text-01,text,"A PLAIN string, no markers at all",Typography (atom),text (ReactNode) — not children,RichText — adds a pointless parsing layer
text-02,text,"A string that may contain backtick, but MUST stay inline (inside a <button>, a trigger)",Typography + parseInlineCode,text,MarkdownContent — block-level markup inside a <button> is invalid HTML
text-03,text,A string carrying a small CLOSED set of markers: code · bold · _italic_ · link · \n,RichText (composites/viewers),text: string + size/color,MarkdownContent — this string has no block content at all
text-04,text,The string is a DOCUMENT: heading · bullet · table · fence · house directive,MarkdownContent,source: string + measure: reading|compact,RichText — it doesn't emit block-level markup
text-05,text,"A field schema declared as type ""text"" whose author typed markers into it anyway",stripMarkdown (atoms/text/_markdown.ts) then feed into Typography,parameter markdown: string → string,"don't ""clean it up"" and still expect formatting to render — it STRIPS, it doesn't convert"
text-06,text,A PAIR (or triplet) of text lines that read as ONE idea: title + subtitle (+ hint),TitledText (composites/text),props title/subtitle/hint + size: row|header|stat,don't stack two or three Typography next to each other by hand
