tier,group,count,holds
atom,buttons,4,"the pressable primitive and its groupings"
atom,chips,3,"bounded tokens with a fixed meaning"
atom,display,14,"avatar, image, divider, icon tile, meter — things that show without asking"
atom,feedback,2,"alert and the status glyph that goes with it"
atom,forms,7,"input, select, choice, field frame — one value each"
atom,media,3,"cover image, video frame, thumbnail"
atom,navigation,9,"tab, breadcrumb, pager, link primitives"
atom,overlay,4,"tooltip, popover trigger, the raw overlay shells"
atom,text,1,"Typography — every string in the system goes through it"
frame,-,9,"Stack, Cluster, Grid, Split, Container, ResponsiveRow, SplitWorkspace, Flex (internal), RailShell"
composite,async,1,"the four-branch switch: error, loading, empty, content"
composite,buttons,3,"button rows and field-shaped buttons"
composite,cards,3,"SurfaceCard and its family — the labelled surface"
composite,chips,4,"chip rows, chip filters, difficulty and status chips"
composite,data,2,"table and key-value list"
composite,feedback,1,"the confirm shape: one question, one consequence, two buttons"
composite,form,1,"the form shell"
composite,layout,5,"Page, Section, ModalShell, DrawerShell, PageBottomBar"
composite,lists,2,"labelled lists without a card surface"
composite,navigation,3,"navbars, sidebars, mode rows"
composite,stats,10,"meters, rings, stat tiles, score, segment bars"
composite,text,3,"inline icon label, titled text, markdown-lite"
composite,viewers,10,"MarkdownContent, RichText, diagram and media viewers"
block,ai,4,"assistant surfaces"
block,commerce,3,"cart, checkout, price surfaces"
block,consultant,5,"headhunting and consultant directory"
block,dashboard,6,"the logged-in home: continue, quests, goals, readiness, changelog"
block,learn,94,"the largest domain: course, lesson, challenge, quiz, flashcard, submission"
block,navigation,7,"the app's own nav surfaces"
block,profile,4,"identity, settings, usage"
