id,section,you_have,choose,entry_point,dont_choose,keywords
surface-card-01,surface-card,"ONE free-form block: a paragraph, markdown, a JSX cluster I assembled myself",SurfaceCard,"children / body (+ header, footer)",SurfaceCardList — an array of length 1 is the wrong concept at the DATA-SHAPE level,"card, content card, generic card, freeform card, card container, single block card, wrapper card, card body, simple card, card with paragraph, card with markdown, custom content card, basic card block"
surface-card-02,surface-card,The whole block is PRESSABLE (a card that links somewhere),SurfaceCard + onPress / href,isPressable is inferred automatically,don't look for SurfaceCard.Pressable — that export no longer exists,"clickable card, pressable card, card link, card that navigates, tappable card, card acts like a button, linked card, card with href, whole card clickable, card as link, navigable card"
surface-card-03,surface-card,"A FLAT array of rows, one row per line, usually pressable",SurfaceCardList,"items[] — title/subtitle/leadingIcon/metaText/trailingIcon, or free-form content",SurfaceCardAccordion if the row doesn't expand; ListLabeled if a card surface is NOT needed,"list of cards, card list, list with rows, pressable list, list of items, row list, list of clickable rows, simple item list, settings style list, menu list, list with leading and trailing icons"
surface-card-04,surface-card,An array of EXPANDABLE rows (trigger + hidden body),SurfaceCardAccordion,items[] — id · title (plain string) · body,Disclosure if there is only ONE collapsible region,"accordion, expandable list, collapsible rows, faq list, expand each row, disclosure list, card accordion, expandable card list, show more rows, collapsible card, foldable rows"
surface-card-05,surface-card,An array of READ-ONLY rows carrying a check / cross / pending mark,SurfaceCardCrossList,items[] — text + mark: check|cross|pending|none + tone,"SurfaceCardList — the source states plainly ""Read-only; for CLICKABLE rows use SurfaceCardList""","checklist, feature comparison list, check cross list, pass fail list, status list, checklist with icons, comparison rows, requirements list, done or not done list, pricing feature list, verdict list"
surface-card-06,surface-card,"An array of sections, each with a multi-line BODY, needing a QUIET label bar INSIDE the frame",SurfaceCardNested,"items[] — eyebrow/title/content, or children",SurfaceCardList — Nested deliberately has NO leading/meta/trailing/selected/verdict,"nested card, sectioned card, card with subsections, grouped content card, card with labeled sections, multi section card, nested content blocks, labeled content groups, card with eyebrow labels"
surface-card-07,surface-card,"A GRID of press-and-done tiles (rate a level, pick an entry point, a large-tile menu)",SurfaceCardPressableGroup,items[] + onPress/href + ariaLabel,SurfaceCardSelectableGroup if you don't need one-of-N selection rules,"tile grid, button grid, grid menu, tile menu, rating tiles, clickable tile grid, card grid, grid of options, press and done grid, large tile menu, grid of buttons, entry point grid"
surface-card-08,surface-card,A GRID of tiles that is a real one-of-N selection CONTROL,SurfaceCardSelectableGroup,items[] + value + onChange + ariaLabel,"SurfaceCardPressableGroup — a different DOM contract, not a different style","selectable tile grid, choose one grid, tile picker, radio tile grid, card selector grid, pick one tile, option grid selector, selection grid, tile radio group, pick a level grid"
surface-card-09,surface-card,"A dashed ""create new"" tile at the end of a card grid",SurfaceCardPlaceholder,icon + label + onPress (no children),using it as an empty state is wrong — List/Accordion already have their own emptyState,"add new tile, create new card, dashed add button, add tile, new item placeholder, add card tile, plus tile, create new placeholder, empty add slot, add new button tile, dashed create tile"
list-01,list,"EXACTLY ONE GitHub-style row, placed into a frame I already have",ListRow,props leading/title/subtitle/meta/trailing (+ href/onPress),don't .map it N times to fake a list,"single row, list row, github style row, row with icon and text, one line item, row item, leading trailing row, single list item, row with avatar and meta, one off row"
list-02,list,"A label + an ARRAY of short rows (+ one button), placed somewhere that ALREADY has an outer surface",ListLabeled,items[] (= ListRowProps + key) + label/icon/action/emptyState,SurfaceCardList if this cluster needs its own surface,"labeled list, list with header, list with title and button, section list, list group, titled list, list with action button, simple list widget, list with heading and items, list with empty state"
list-03,list,"A few meta fragments on ONE line, joined with ·",ListMeta,chip? + items[] — each element is one fragment,don't hand-type · + mx-1 at the call site,"meta line, dot separated meta, metadata row, inline meta fragments, byline meta, date views likes row, meta chips line, small info line, dot separated info, one line details"
list-04,list,A settings row: name + explanation + a switch,ListToggleRow,props label/description/checked/onCheckedChange,"ListRow if the right side is a chip/number/caret, not a switch","settings toggle row, toggle row, switch setting, setting with description and switch, preference row, on off row, settings item toggle, toggle list item, name and switch row"
list-05,list,Content authored by ONE PERSON: avatar + identity line + body/nested replies,IdentityContentRow,byline (node) + children (node); nested draws the indent guide,don't expect it to draw a card surface — wrap SurfaceCard if you need one,"comment, comment row, post with avatar, reply thread, forum post, message with avatar, comment thread, nested replies, user post row, thread comment, discussion row, avatar with body text"
disclosure-01,disclosure,"ONE collapsible region, NO border needed",Disclosure (composites/layout/Disclosure),title (inline trigger label) + body / children,SurfaceCardAccordion — it's a real card surface; with one item the label says itself twice,"single accordion, one expandable section, collapsible section, show hide section, toggle content, single disclosure, expand collapse block, inline expandable, one faq item, standalone collapsible"
disclosure-02,disclosure,"≥2 uniform regions, WITH a card surface",SurfaceCardAccordion,items[] + label/description/emptyState,"Disclosure — it doesn't repeat, has no items","accordion card, faq card, multiple collapsible sections card, accordion with surface, bordered accordion list, card with expandable items, faq accordion card, accordion with label and description"
disclosure-03,disclosure,"≥2 uniform regions, NO card surface needed","Accordion (atom, atoms/navigation/Accordion)",items[] — key/title/content,SurfaceCardAccordion if you don't want a surface,"plain accordion, accordion without card, borderless accordion, simple expandable list, faq without card, accordion atom, lightweight accordion, expandable sections no border, bare accordion"
disclosure-04,disclosure,"Clicking opens a panel OUTSIDE, not an inline region",ListRow (pressable row) + DrawerShell,ListRow trailing caret; content lives in the drawer,Disclosure — the source names TaskSubmissionPanel as exactly this case,"row that opens drawer, row opens side panel, click to open drawer, list item opens panel, row with caret opens drawer, tap row for details panel, expandable via drawer, row leading to slide-in panel"
text-01,text,"A PLAIN string, no markers at all",Typography (atom),text (ReactNode) — not children,RichText — adds a pointless parsing layer,"plain text, simple text, text label, body text, paragraph text, basic text, plain string, text atom, static text, unformatted text, just a string"
text-02,text,"A string that may contain backtick, but MUST stay inline (inside a <button>, a trigger)",Typography + parseInlineCode,text,MarkdownContent — block-level markup inside a <button> is invalid HTML,"inline code text, text with code snippet, backtick text, inline code inside button, code highlighted text, text with inline code marker, button label with code, trigger label with code"
text-03,text,A string carrying a small CLOSED set of markers: code · bold · _italic_ · link · \n,RichText (composites/viewers),text: string + size/color,MarkdownContent — this string has no block content at all,"rich text, formatted text, text with bold and links, simple markdown text, styled text snippet, text with basic formatting, inline formatted string, lightweight rich text, text with bold italic and link"
text-04,text,The string is a DOCUMENT: heading · bullet · table · fence · house directive,MarkdownContent,source: string + measure: reading|compact,RichText — it doesn't emit block-level markup,"markdown content, full markdown document, rendered markdown, article content, long form text, markdown viewer, document with headings and tables, lesson content, markdown renderer, rich document content, full document text"
text-05,text,"A field schema declared as type ""text"" whose author typed markers into it anyway",stripMarkdown (atoms/text/_markdown.ts) then feed into Typography,parameter markdown: string → string,"don't ""clean it up"" and still expect formatting to render — it STRIPS, it doesn't convert","strip markdown, remove markdown formatting, plain text converter, markdown to plain text, sanitize markdown text, clean markdown syntax, remove asterisks and backticks, markdown stripper, convert rich text to plain string, de-markdown a field, plain text cleanup for text field"
text-06,text,A PAIR (or triplet) of text lines that read as ONE idea: title + subtitle (+ hint),TitledText (composites/text),props title/subtitle/hint + size: row|header|stat,don't stack two or three Typography next to each other by hand,"title and subtitle, heading with subheading, label and value pair, stat block with caption, title subtitle hint, two line text block, header with description line, name and detail line, stacked title and description, title plus small hint text"
text-07,text,"ONE horizontal line: a leading icon + a label, the SAME tone",InlineIconLabel (composites/text),icon (bare node) + children + tone/size,Chip if the value belongs to a CLOSED set; TitledText if the axis is VERTICAL,"icon with label, icon text row, inline icon and text, labeled icon, icon plus caption, icon text pair, small icon with description, icon and word inline, icon followed by text, one line icon label"
text-08,text,"A NUMBER + unit in a trailing slot: ""N points""",ScoreValue (composites/text),points: number (+ unit),NEVER Chip,"score display, points value, number with unit, score badge, points counter, numeric score display, n points label, trailing score number, score text, points earned display, small stat number with unit"
viewer-01,viewer,A markdown string with full block content (even if it's just a single fenced command),MarkdownContent,source: string + measure,don't hand-build a <pre> — a bash fence already has its own copy button + mono chrome,"markdown renderer, render markdown document, markdown viewer, code fence renderer, markdown block content, render markdown text, display formatted markdown, markdown to html viewer, rendered markdown document, single fenced command block"
viewer-02,viewer,"A code block that doesn't come from markdown (API response, a hand-built snippet)",CodeToHtml,code + language + theme,don't call it when the code is already inside a fence — map.tsx already dispatches it,"code block, syntax highlighting, code snippet viewer, render code block, code highlighter, display code snippet, code syntax colorizer, code viewer, highlighted code block, code block renderer, standalone code snippet"
viewer-03,viewer,"TWO already-rendered nodes: a demo + a source, flipping between them",CodePreviewTabs,preview + code (ReactNode),don't call it when all you have is a markdown string containing :::tab,"code preview tabs, demo and code tabs, live preview with source, tabbed code example, preview source switcher, code sandbox tabs, example and code toggle, demo slash code view switch, flip between preview and code"
viewer-04,viewer,"A mermaid diagram as TEXT, standing on its own",MermaidDiagram,code: string + UI labels passed via prop,"don't call it when the mermaid is inside a document — it's already auto-dispatched, calling it by hand duplicates it","mermaid diagram, flowchart from text, diagram as text, mermaid chart renderer, text based diagram, sequence diagram viewer, mermaid syntax renderer, auto generated diagram, diagram code renderer, standalone flowchart"
viewer-05,viewer,"Graph DATA with ready-made nodes/edges, needing drag-zoom",FlowDiagram,nodes[] + edges[]; nodes use FLOW_DIAGRAM_CARD_NODE_TYPE,MermaidDiagram — it takes TEXT and outputs a static SVG,"flow diagram, node graph, drag and zoom diagram, interactive flowchart, graph visualization, node edge diagram, workflow diagram builder, draggable diagram canvas, react flow diagram, network graph viewer"
viewer-06,viewer,"A path to a PDF file, viewed right on the page",PDFView,src + title,"MarkdownContent — this is a binary file, not text content","pdf viewer, view pdf file, embedded pdf, pdf preview, inline pdf display, document viewer, pdf reader component, show pdf on page, pdf embed, view pdf inside app"
label-01,label,"ONE short label with a FREE value (a lone tag, a color-dot chip)","Chip (atom, atoms/chips/Chip/ChipBase.tsx)","text (REQUIRED, children forbidden) + icon (component ref) or dotColor/dotClassName",EnumChip if there's a mapping table,"chip, tag, label pill, badge chip, small tag, color dot label, status pill, single tag chip, lone label tag, dot indicator chip, colored chip"
label-02,label,"N labels at the SAME LEVEL, same tone, needing an overflow +N cutoff",ChipGroup (atom),items[] (key/text) + maxVisible + tone shared across the whole row,don't use it if each label has its own tone — a rainbow row,"chip group, tag list, list of chips, tags row with overflow, multiple tags row, chip row, tag collection, plus n more tags, overflow chip list, group of labels, row of same tone chips"
label-03,label,ONE value from a CLOSED set + a value→color/label mapping table,EnumChip (composite),"value + map (a missing entry THROWS, no silent fallback)","Chip — wherever there's a map, the color rule lives there","status chip, enum badge, mapped status label, status tag, colored status pill, status indicator chip, category chip with mapping, labeled status badge, enum to color chip, value mapped to color pill"
label-04,label,"A NUMBER + unit printed INSIDE THE SAME pill (""24 Modules"")",HighlightChip,value + label (+ icon),Chip — it only takes a single text,"highlight chip, stat pill, count badge, number and label pill, metric chip, modules count badge, count with label pill, highlighted stat tag, numeric highlight badge, unit inside pill"
label-05,label,"ONE ALREADY-SELECTED item, a full-width bordered row, with a Change / × button",RemovableToken,label + icon (bare) + onEdit/onRemove,Chip + onRemove — that's a 24px pill; using it here blows out the row,"removable tag, selected item row, editable selection chip, token with remove button, selected filter row, chosen item with change button, removable selection row, selected value with x button, token row with delete, full width selected chip"
label-06,label,"A pure scalar/count (""482 students"")",muted text (Typography),,"NO chip, NO icon (README atom §1)","plain count text, muted number, count label, scalar stat text, simple number display, subdued count text, students count text, quiet number label, count without icon, bare number and word"
measure-01,measure,"ONE ratio over ONE total, read as a thin horizontal bar",ProgressMeter (composites/stats),"value (+ max, label, showValue, target)",SegmentBar — that's multiple components,"progress bar, progress meter, horizontal progress bar, completion bar, thin progress bar, percentage bar, ratio bar, linear progress indicator, progress bar with label, progress bar with target"
measure-02,measure,The same ratio but needs to be a round FOCAL block with a number in the middle,ProgressRing,"value (+ label, caption, size)","ProgressMeter — different placement, not different data","progress ring, circular progress, progress circle with number, radial progress indicator, donut progress, round progress meter, circular completion indicator, ring chart with value, progress dial, focal progress circle"
measure-03,measure,MULTIPLE categories with the SAME unit sharing ONE common total,SegmentBar,segments[] + ariaLabel required,CourseProgressBar — equal-width lanes would lie about the composition,"segmented progress bar, stacked bar, multi segment bar, composition bar, categorized progress bar, proportion bar, segmented ratio bar, breakdown bar chart, multi color progress bar, categories sharing one total"
measure-04,measure,"MULTIPLE dimensions, each with its OWN total, on different scales of unit",CourseProgressBar,dims[] (completed/total) + ariaLabel,"SegmentBar — the JSDoc states plainly ""Deliberately NOT SegmentBar""","multi metric progress bar, course progress bar, multiple progress bars grouped, dimension progress list, per category progress bars, grouped completion bars, multi bar progress display, several progress indicators together, progress bars with own totals"
measure-05,measure,"A color-meaning key, with the colored shape living SOMEWHERE ELSE",Legend,items[] (label/color/suffix),don't add it when SegmentBar/CourseProgressBar are already in use — they render their own Legend,"chart legend, color key, legend list, color meaning key, chart color guide, legend labels, color code explanation, key for chart colors, legend swatch list, what the colors mean"
measure-06,measure,"A number+label pair, placed somewhere that ALREADY has a surface",StatPair,value + label + valueType,MetricCard — frame nested inside frame,"stat pair, label value pair, metric row, number and label, key stat line, inline stat, simple metric pair, value with caption, stat row without card, small stat inside existing surface"
measure-07,measure,"ONE metric standing alone, needing its own card frame",MetricCard,value + label (+ hint),don't line up N of them side by side to fake a ribbon,"metric card, stat card, single stat box, kpi card, number card, standalone metric tile, dashboard stat card, highlight metric box, single kpi tile, one metric with its own frame"
measure-08,measure,3-4 numbers at the SAME LEVEL reading as ONE continuous ribbon,StatRibbon,"items[] locked to {value,label}",StatGridCard if every cell really is just a number-label pair,"stat ribbon, row of stats, stats row, number strip, metric strip, inline stats, kpi row, stat highlights, quick stats bar, summary numbers row, stats banner"
measure-09,measure,"MULTIPLE cells, each more complex than a number-label pair (icon + meter + multiple lines)",StatGridCard,items[] with free-form content: ReactNode,StatRibbon — its items is locked down,"stat grid, stats grid card, metrics grid, dashboard stat cards, kpi grid, stat cards with icons, rich stat cells, metric tiles grid, grid of stat cards"
measure-10,measure,"A task that's CURRENTLY RUNNING, ratio known or unknown",ProgressBar / ProgressCircle (atom),value + max + isIndeterminate,ProgressGauge — it has no indeterminate state,"progress bar, loading bar, progress circle, spinner with progress, task progress, upload progress, indeterminate progress, in-progress indicator, running task bar, percent loading"
measure-11,measure,"A static, always-determinate MEASUREMENT (storage, battery, score)",ProgressGauge (atom),value + max,ProgressBar — picking wrong makes the screen reader announce the wrong role (meter vs progressbar),"progress gauge, storage meter, battery indicator, usage meter, score gauge, capacity bar, disk usage bar, fill level indicator, static progress meter, quota bar"
pair-01,pair,"EXACTLY ONE ""one name, one number"" row (or one standalone TOTAL row)",KeyValueRow (composites/data/KeyValue),"label + value (+ hint, emphasis, divider)",don't .map it into N rows,"key value row, label and value pair, name value line, single stat row, total row, label value row, one line stat, field and value, summary line item"
pair-02,pair,"MULTIPLE ""one name, one number"" rows of the same kind",KeyValueList,items[] + gap (SeamScale) + divider,Table — columns + a header is overkill for two columns,"key value list, list of label value pairs, details list, spec list, name value list, field list, info list, property list, stacked key value rows, summary list"
pair-03,pair,"N records, each with ≥3 fields that need to LINE UP IN COLUMNS",Table (composites/data/Table),columns[] + items[] + ariaLabel required,KeyValueList — it has no columns/header,"table, data table, grid of rows and columns, spreadsheet-like list, tabular data, records table, columns table, list with headers, sortable table"
frame-01,frame,Several DIFFERENT-KIND blocks stacked VERTICALLY,StackV,children; gap REQUIRED,"Flex direction=""col"" — StackV already forwards padding and as","vertical stack, stack items vertically, column layout, vertical list of blocks, stacked layout, vstack, vertical container, stack children top to bottom"
frame-02,frame,Several DIFFERENT-KIND things on ONE row,StackH,children (+ wrap),Cluster if it's N elements of the same kind,"horizontal stack, row layout, hstack, items in a row, side by side layout, horizontal container, inline row of elements, stack things horizontally"
frame-03,frame,"An ARRAY of SMALL, SAME-KIND elements that wrap on their own (chips, tags, a row of buttons)",Cluster,items[] (key/content); separator turns on the · mark,"StackH — the §13b test decides this, not the eye","wrapping row, tag cloud, chip cluster, flex wrap row, tags list, wrapping button row, flowing list of chips, wrap layout, group of small pills"
frame-04,frame,An ARRAY of UNIFORM cells divided by COLUMN COUNT at container-query steps,Grid,items[] (+ span?: 1|2); columns REQUIRED,Cluster if the cells keep their own intrinsic width,"grid layout, responsive grid, card grid, column grid, uniform grid, grid of cards, multi-column layout, fixed columns grid"
frame-05,frame,A row that needs to CHANGE DISPLAY TYPE by step (narrow grid → flex splitting width evenly),ResponsiveRow,items[] + columns (cap 1|2) + at,"Grid — its display is fixed, can't split evenly","responsive row, adaptive layout, row that becomes grid, breakpoint layout, responsive columns row, layout that reflows, adaptive row grid"
frame-06,frame,EXACTLY TWO NAMED SIDES: leading ↔ trailing,Split,slot start / end (no children),"StackH justify=""between"" — only looks alike to the EYE","split layout, two column split, left right layout, side by side split, start end layout, two panes, split view, leading trailing layout"
frame-07,frame,TWO PAGE-SIZE regions: a reading column + a 360px STICKY rail from @app-xl,SplitWorkspace,slot main / aside,StackH wrap + two StackV — that fake version is a BUG documented in the file,"workspace split, main content with sidebar, sticky sidebar layout, reading pane with rail, two pane workspace, content and sticky aside, split workspace layout, main and rail layout"
frame-08,frame,A region needing a READABLE WIDTH CAP,Container,slot body (children is shorthand),StackV — it has no max-w/mx-auto,"container, max width wrapper, centered content, readable width container, content wrapper, page container, width-capped section, centered column"
frame-09,frame,An internal flex box for the frame layer,Flex,,NEVER call it from outside components/frames/,"flex box, internal flex container, flex wrapper, low level flex, raw flex container, flex primitive"
frame-10,frame,Declaring gap,SeamScale,flush · tight · related · grouped · section · page (+ baseline),don't hand-type gap-4/gap-5/gap-1.5 — can't be typed,"gap scale, spacing between items, gap token, seam spacing, spacing scale, gap size, space between elements, layout gap value"
frame-11,frame,Declaring padding,InsetScale,flush · snug · cozy · roomy · airy,"don't use SeamScale's vocabulary for padding, and vice versa","padding scale, inset spacing, padding token, inner spacing, padding size, box padding scale, content inset"
page-01,page,Opening a ROUTE: breadcrumb · page name · description · trailing button · meta strip,PageHeader (composites/layout/Page),breadcrumb/title/description/actions/meta + size: page|compact,SectionHeader — it has no breadcrumb/meta,"page header, page title bar, route header, breadcrumb and title, page top section, header with actions, page banner header, top of page header"
page-02,page,"The heading of a REGION inside a page, needing to step down a level when nested",SectionHeader (composites/layout/Section),eyebrow/title/description/action + level: 1|2|3,PageHeader — count how many appear on one page,"section header, section title, region heading, subheading with description, nested section title, section heading with action, block heading"
page-03,page,"""A region heading + one content block (+ a closing line)"" stacked vertically at one rhythm",Section,header (props OR node) · body · footer · gap,SectionCard if you need a bordered SURFACE — Section is the frame AROUND a surface,"section, page section, titled section wrapper, section with header and body, content section, labeled block, section frame"
page-04,page,A CTA row pinned to the bottom of the VIEWPORT,PageBottomBar,"body (leading, usually a price) + actions",the shell's footer — that anchors to a dialog,"bottom bar, sticky footer bar, bottom cta bar, fixed bottom action bar, checkout bar, price and buy bar, bottom action strip, sticky purchase bar"
page-05,page,"A short self-contained flow that needs to block the screen, width set by size",ModalShell,title+description OR header (node) · body · footer,"DrawerShell — it has placement, not size","modal, dialog, popup window, modal shell, modal dialog box, centered dialog, modal with title and body, popup dialog"
page-06,page,A LONG panel sliding in from the EDGE of the screen,DrawerShell,same as above + placement + contentClassName,ModalShell — a drawer runs full-bleed along the edge,"drawer, side panel, slide-in panel, sheet, off-canvas drawer, side drawer, slide out from the side, bottom sheet, sliding panel"
page-07,page,"Content that is exactly ""one question + its consequence + two buttons""",FeedbackConfirm (composites/feedback),title/description/confirmLabel/cancelLabel/tone/isConfirming,"ModalShell — but the moment you add ANYTHING beyond those three things, switch to ModalShell","confirmation dialog, are you sure prompt, confirm delete popup, yes no dialog, warning confirmation, proceed or cancel prompt, double check before deleting, confirm action modal, sure you want to continue, quick confirm popup, delete confirmation box"
async-01,async,"A data-loading region that needs all four branches in ONE place, and I'm at the BLOCK layer",AsyncContent (composites/async),"content (children) · skeleton (node) · emptyContent/errorContent (PROPS, not a node) + isLoading/isEmpty/error",don't use it at the SCREEN layer,"loading empty error content switcher, data fetch wrapper, async state container, loading state handler, fetch status wrapper, content or spinner or error block, data loading region, conditional render by fetch state, loading skeleton empty error combo"
async-02,async,"""Nothing here yet"" + at most one way out",AsyncContentEmpty,"props title/description/icon (component ref)/action, or onRetry+retryLabel",bare FeedbackEmpty if that region is an async region,"empty state, nothing here yet, no data placeholder, empty list message, no results found, no items yet, blank state with action, empty section message, no data available box"
async-03,async,"""Fetching data failed, try again""",AsyncContentError,same as above; usually declared as const errorContent: AsyncContentErrorProps = {…},rendering it directly at the screen layer,"error state, failed to load message, try again prompt, something went wrong, fetch error block, loading failed message, data error retry button, couldn't load data, retry after failure"
async-04,async,An EMPTY HOLE where I want to CHOOSE the size myself (compact one-liner / default / a 404 page with a code),FeedbackEmpty,code/icon/title/description/body/action + size/tone,AsyncContentEmpty if it isn't an async region,"empty state, 404 page, page not found, not found message, blank placeholder with code, error code page, nothing found here, compact empty message, generic empty block, custom size empty state"
async-05,async,"A toned note sitting INSIDE a surface, CTA is a text label",FeedbackCallout,status/title/description/body + actionLabel+onAction,"bare Alert — Callout already picked tone=""soft"" + builds its own button","callout box, info banner, inline notice, tip box, hint with button, highlighted note, in-card message, soft alert with link, notice inside surface, contextual tip banner"
async-06,async,"Need the exact house alert SURFACE, and decide placement myself",Alert (atom),status/tone/title/description/body/action (node),"don't import { Alert } from ""@heroui/react""","alert box, warning message, error banner, success message banner, status alert, inline alert, notification bar, message box with status, danger or info banner"
async-07,async,A FLOATING result notification,Toast (atom),status (picks its own icon) + title + description + action,Popover — that's a click-to-open panel,"toast notification, popup message, snackbar, floating alert, success toast, temporary notification, corner popup message, transient status message, brief pop up notice"
async-08,async,"Just need to say ""running"", no ratio at all",Spinner (atom),size + tone (current follows the parent's text color) + label,isSkeleton if the loading shape should MIRROR the frame about to appear,"loading spinner, spinner icon, loading indicator, please wait spinner, busy indicator, activity indicator, spinning loader, working indicator, loading circle, processing spinner"
async-09,async,Shimmer for the shape a component draws itself,that component's own isSkeleton,"a prop, flowing straight down to the atom",there is no shared skeleton component (§12c),"skeleton loader, shimmer placeholder, loading skeleton, placeholder shimmer, ghost loading shape, skeleton screen, gray loading blocks, shape mimicking loader, loading shimmer animation, content shaped placeholder"
form-01,form,A SHORT one-line string,InputText,value + onValueChange,InputSearch if it's a query,"text input, text field, single line input, name field, text box, short text entry, form text input, one line text field, basic input field"
form-02,form,A LONG multi-line block of text,InputTextarea,value + rows,InputText,"textarea, multiline input, comment box, description field, long text input, message box, paragraph input, multi line text field, big text box, notes field"
form-03,form,"A countable NUMBER, with a stepper",InputNumber,value: number + min/max/step,InputCurrency if it's money,"number input, quantity input, stepper input, plus minus counter, numeric field, count selector, number stepper, quantity picker, increment decrement input"
form-04,form,A MONEY amount the user enters,InputCurrency,value: number + currency,PricePoint — that's a display atom,"currency input, price input, money field, amount input, dollar input, cost field, payment amount input, price entry field, money amount box"
form-05,form,A DATE (segments + a calendar popover),InputDate,value: DateValue|null,InputTime,"date picker, date input, calendar picker, select date, birthday input, date field, choose date, calendar dropdown, pick a date"
form-06,form,"A TIME of day, no calendar",InputTime,value: TimeValue|null,InputDate,"time picker, time input, select time, clock input, hour minute picker, time of day field, choose time, set a time"
form-07,form,"A QUERY string, with results shown SOMEWHERE ELSE",InputSearch,value + onValueChange,SelectCombobox/SearchAutocomplete if you need a dropdown,"search box, search input, search bar, query field, search field, type to search, search text box, keyword search field"
form-08,form,"A SECRET string, masked characters + an eye toggle",InputPassword,value,InputText,"password input, password field, masked input, show hide password, secret text field, login password box, password with eye icon, hidden characters field"
form-09,form,A verification code typed one character per box,InputOtp,value: string + length,InputNumber,"otp input, verification code input, pin code boxes, one time password field, sms code input, code entry boxes, 6 digit code input, auth code field, security code boxes"
form-10,form,An ARRAY of FREE labels the user makes up themselves,InputTags,value: string[],SelectMulti if the set is fixed,"tags input, tag list field, add tags, keyword input, chips input field, custom labels input, multi tag entry, free text tags, type your own tags"
form-11,form,"A FIXED option set, picking EXACTLY ONE, collapsed into a compact trigger",SelectSingle,options[] + value,ChoiceRadioGroup if there are 2-4 choices that need to all stay visible,"dropdown select, select box, single select dropdown, choose one option, combobox dropdown, picker dropdown, select menu, pick from list, single choice dropdown"
form-12,form,"A fixed option set, choosing MULTIPLE",SelectMulti,options[] + value: string[],InputTags if there's no fixed list,"multi select dropdown, select multiple options, checkbox dropdown, multi choice select, tag select field, choose multiple items, multiselect box, pick many options"
form-13,form,"A long list that's ALREADY on the client, type to filter then pick one",SelectCombobox,options[] + value; react-aria filters on its own,SearchAutocomplete — it does NOT filter,"combobox, searchable dropdown, filterable select, type to filter, autocomplete select, dropdown with search, select from a list, type-ahead select, filter as you type, pick one from long list, searchable select box, client-side filter dropdown"
form-14,form,"Suggestions FETCHED per keystroke, each row has a description, needs a spinner",SearchAutocomplete,inputValue + items[] + onSelect + isLoading; the parent handles filtering/fetching,SelectCombobox — it filters locally on its own,"autocomplete search, live search suggestions, search with suggestions, type-ahead search, remote search dropdown, search box with results, fetch suggestions as you type, search suggestions list, live search dropdown, async search input, search with loading spinner, server-side search box"
form-15,form,A BOOLEAN the user checks before submitting,ChoiceCheckbox,isSelected + label,ChoiceSwitch,"checkbox, agree checkbox, terms and conditions checkbox, single checkbox, check to confirm, tick box, opt-in checkbox, yes or no checkbox, accept terms box, boolean checkbox"
