from,to,allowed,rule,why
atom,anything,no,"An atom imports no other tier.","An atom that imports another tier is arranging children. It is a composite with the wrong name."
frame,atom,"only for its own chrome","A frame may import an atom only to place an element the frame itself owns — a divider between children, for example. Test: is the imported thing something the caller handed in? If yes, the frame is doing a composite's job.","A frame never hand-rolls what an atom already owns, and never reacts to what its children are."
frame,composite,no,"A frame does not reach upward.","A frame reaching upward is reacting to content it must not know about."
composite,atom,yes,"The normal direction.",""
composite,frame,yes,"A composite arranges its atoms inside frames.","Hand-rolling flex at composite level puts the same spacing decision at every call site."
composite,block,no,"A composite does not know a domain.","A composite that knows a domain entity is a block, whatever folder it sits in."
block,atom,yes,"",""
block,frame,yes,"",""
block,composite,yes,"",""
page,block,yes,"A page names blocks and feeds them typed data.",""
page,atom,discouraged,"Legal but a smell.","A page reaching two tiers down usually means a block is missing, and the shape it builds inline is invisible to every other screen that will need it."
any,vendor,"only at atom and frame","Vendor components are wrapped at the bottom and never imported above it.","A block importing a vendor component lets that vendor's constraints leak into domain code, and the house system can no longer constrain it back."
