section,num,title,source,deciding_test
surface-card,1,Surfaces with a label,composites/cards/SurfaceCard/SurfaceCard.tsx,"Two questions. (1) Is my content ONE BLOCK or an ARRAY OF UNIFORM ROWS? (2) If an array — does each row have a HIDDEN part, and is the row PRESSABLE? The label is drawn by the frame via the label prop; the caller never builds it with Typography."
list,2,Rows and lists without a card surface,composites/lists/List/List.tsx,"Same shape as the SurfaceCard family, differing on exactly one axis: whether there is a bg-surface or not."
disclosure,3,Hide and show on click,,"Two independent questions, asked in order. (1) Count the collapsible regions. (2) Is there an outer background, border, radius, or padding?"
text,4,Text,,"Three steps by STRING SHAPE, not by length. The hard boundary between step 2 and 3 is block-level: MarkdownContent emits block markup and drives its own vertical rhythm, so it cannot legally nest inside a button, trigger, or inline label; RichText emits inline markup, so it can nest anywhere."
viewer,5,Payload authored by a writer or decided by data,,"The shape is decided by the payload; the component does not know it in advance."
label,6,"Classification labels, chips, tokens",,"Four doors, chosen by DATA SHAPE."
measure,7,Measurements,,"A bar takes exactly one question: how many TOTALS? A stat tile takes: who supplies the surface, and what does the cell hold?"
pair,8,Label-value pairs and tables,,"Enter by whether the pairs are a fixed set of fields or rows of the same record."
frame,9,Frames and rhythm,frames/,"The axis is something I choose, not something the component guesses."
page,10,"Page, region, overlay",,"Enter by what the thing covers: a whole route, a region inside one, or the screen itself."
async,11,"Async, notifications, empty holes",,"Two questions. (1) The shape of the PLACEMENT — a strip inside a surface, or a centered hole? (2) HEIGHT — is this an async region or not?"
form,12,Inputs and forms,,"Form atoms CARRY THEIR OWN label, hint, errorMessage, isRequired (teacher confirmed 2026-07-25; the old Field.* layer is DELETED). There is no component for wrapping a label around a field."
button,13,Buttons and actions,,"Enter by how many actions there are and where the row sits."
nav,14,Navigation,,"Four rungs of the same tab problem: pure-data items, then the caller builds the tree when each tab needs its own chrome, then a row with TWO tab groups on either side, then that row sitting inside a card surface."
identity,15,"Identity, images, small signifiers",,"Enter by what the image stands for: a person, an entity cover, the brand, or a free image."
